1
16,44,62
16,45,65
17,46,65
16,46,64
16,46,64
13,42,59
12,41,58
11,40,58
11,40,59
11,37,58
11,37,58
10,36,58
12,36,59
12,35,58
12,36,59
12,36,60
12,37,61
15,38,62
15,36,62
15,37,61
14,38,64
15,39,63
16,39,62
16,40,65
16,40,64
16,41,66
16,40,66
15,39,66
16,40,66
15,39,64
16,39,64
16,37,65
16,38,64
17,38,66
17,39,65
16,39,66
18,37,63
17,37,62
19,40,58
16,41,59
16,43,57
13,39,52
9,34,49
9,25,49
8,23,49
8,23,48
8,25,48
8,22,48
8,21,48
8,20,48
10,19,47
10,21,48
10,19,44
11,19,40
11,19,41
11,20,41
12,20,41
11,19,36
12,18,34
13,18,33
12,18,32
12,18,27
12,17,28
12,17,27
12,17,24
12,16,23
12,17,26
12,17,26
12,16,24
11,16,21
13,16,19
11,15,19
11,17,19
13,17,18
12,17,17
12,18,16
13,17,16
12,18,15
12,17,16
12,18,16
14,19,16
13,19,17
15,21,17
15,21,17
17,22,17
16,27,16
13,25,13
12,23,11
9,20,9
9,19,9
9,18,9
7,14,9
7,11,9
8,11,11
7,10,11
7,10,11
8,11,13
10,12,14
11,12,14
12,14,14
12,16,15
