1
218,64,37
216,65,38
218,68,38
212,69,39
210,71,40
208,74,41
200,76,43
195,78,42
173,82,44
130,91,46
125,88,45
107,95,45
92,97,43
80,93,42
74,92,40
77,92,41
83,89,41
91,87,41
98,81,42
90,87,42
87,84,40
84,78,39
82,75,38
80,69,37
77,67,36
76,66,35
70,66,34
61,69,34
67,67,34
75,61,34
76,58,34
81,51,32
72,49,31
73,48,30
69,47,30
65,47,29
61,47,29
52,47,28
48,46,27
46,41,24
53,42,26
51,41,26
46,44,25
45,42,24
45,40,24
46,37,24
48,35,24
47,34,23
47,33,23
47,32,23
46,32,21
42,31,21
39,29,20
36,28,19
35,26,19
33,23,17
33,23,17
33,22,17
33,21,17
32,21,17
32,21,16
30,20,16
30,19,15
29,20,15
29,18,14
27,18,14
28,18,14
28,17,14
27,16,14
27,16,13
25,16,13
25,16,13
23,16,13
22,15,12
22,15,12
22,15,13
22,14,11
22,15,12
22,14,12
22,13,11
21,13,12
22,12,11
21,12,12
21,12,10
20,12,10
20,11,10
20,11,10
20,11,10
18,11,10
18,11,9
17,11,10
17,11,10
17,11,9
17,10,9
16,10,9
15,10,9
16,10,9
16,10,9
16,10,8
16,9,9
16,10,9
