1
64,152,151
70,144,150
71,139,147
68,131,146
70,139,148
67,140,150
65,136,147
67,139,148
66,138,148
63,134,146
59,132,145
58,128,142
57,131,139
59,137,139
61,140,142
58,137,137
56,138,137
53,127,128
47,118,120
44,113,114
39,103,105
37,101,103
34,96,101
27,85,89
25,81,85
25,79,82
23,74,78
24,76,78
24,73,76
21,67,70
20,66,67
21,64,67
19,61,65
19,62,64
21,65,68
16,54,57
15,51,52
14,49,50
13,46,47
13,44,41
12,41,40
11,41,37
12,39,39
11,39,36
11,38,36
11,38,37
10,36,35
11,35,36
9,34,36
10,35,35
12,36,34
10,34,34
10,33,33
10,32,33
9,32,32
10,33,32
10,33,35
9,31,32
10,31,32
9,28,30
9,28,30
9,28,29
9,27,28
9,26,27
8,24,24
7,25,25
8,24,24
7,22,24
7,22,22
7,22,23
7,23,24
7,22,24
7,22,23
7,22,23
8,23,24
7,22,23
7,21,22
7,21,23
7,22,23
7,21,23
7,22,23
7,21,22
7,21,21
7,21,22
7,21,22
7,20,22
7,20,22
7,21,22
6,19,20
7,20,21
6,20,20
7,18,20
6,18,19
7,18,19
6,18,19
7,18,19
6,19,20
7,19,20
6,18,19
6,18,19
7,17,18
