1
384,395,272
383,384,264
381,379,261
382,380,262
384,389,266
377,398,273
350,380,267
337,365,262
319,346,253
303,328,246
283,306,234
279,301,232
264,285,221
257,278,217
256,278,217
258,280,218
261,283,221
247,267,211
232,249,200
207,218,180
183,194,164
174,185,158
178,188,160
170,179,155
164,173,149
160,169,146
161,170,146
157,164,143
151,157,138
149,155,137
153,161,141
155,161,142
152,158,140
151,156,139
143,147,132
140,144,131
133,135,125
127,128,120
123,123,116
118,119,113
117,118,113
115,115,110
117,118,112
112,112,108
108,107,104
108,108,103
109,109,105
106,104,100
100,100,97
99,96,95
97,96,94
97,97,94
97,96,94
98,97,95
97,97,94
101,101,98
92,92,91
89,87,86
88,87,86
90,88,87
85,84,83
84,83,83
84,83,83
81,78,79
77,76,78
78,76,77
80,78,78
79,76,78
77,75,76
73,71,73
73,70,72
73,71,73
73,70,73
73,70,73
69,66,69
68,64,68
69,66,68
68,64,67
68,66,68
68,64,67
68,65,67
66,62,66
65,62,65
66,63,65
63,61,65
64,61,64
62,61,64
60,57,61
59,55,60
59,56,58
57,54,57
56,52,55
52,51,55
54,49,55
53,50,54
53,48,54
51,48,52
50,46,51
49,47,51
49,47,51
49,45,51
