1
111,16,16
113,17,16
119,17,16
121,19,17
123,19,17
121,19,17
121,19,17
121,20,18
129,22,20
128,22,20
129,22,19
132,23,20
132,24,19
131,24,20
128,23,20
128,22,19
128,22,19
129,24,20
132,24,20
133,24,20
132,24,20
130,25,20
134,25,19
133,25,20
137,27,21
134,26,20
136,26,21
134,26,20
131,25,20
127,24,19
130,25,20
132,26,21
132,26,21
132,27,22
125,26,21
127,26,22
126,27,22
127,27,22
124,27,22
121,29,23
116,32,25
116,33,26
120,33,27
119,33,26
114,33,26
108,35,26
97,37,29
99,38,28
97,39,28
93,37,28
84,36,28
81,36,27
74,42,29
69,44,29
68,47,30
69,45,29
60,52,30
51,58,31
39,72,36
27,76,34
32,67,33
29,67,32
26,69,32
22,70,32
20,71,32
18,75,33
18,77,34
18,77,34
19,82,35
17,81,36
18,82,35
18,79,32
17,78,34
16,77,32
17,76,32
16,74,32
16,77,32
17,79,33
16,80,34
17,82,35
17,83,34
18,84,35
19,88,36
19,89,36
19,89,36
18,85,35
18,85,35
19,90,37
19,90,36
19,88,36
19,92,37
19,90,37
19,91,36
19,89,36
19,90,36
21,96,38
19,92,36
21,96,38
21,98,38
21,100,39
21,100,39
