1
10,18,8
11,18,11
10,17,12
10,19,12
12,19,11
11,18,11
12,19,10
11,18,11
10,17,12
10,19,12
10,17,11
11,18,12
10,18,11
12,19,13
12,18,12
11,18,11
11,18,11
11,16,10
10,16,9
9,15,9
8,14,8
9,14,9
7,11,8
9,14,9
7,13,9
8,13,8
8,15,9
10,15,10
11,18,13
14,22,13
13,24,15
15,24,16
15,23,14
14,22,14
14,22,14
14,21,13
13,20,13
10,18,13
10,18,13
11,17,12
10,17,10
10,17,11
9,15,10
9,17,11
10,16,12
10,17,13
11,18,11
10,18,12
10,18,13
9,18,14
10,20,15
12,22,19
12,22,19
12,22,19
13,23,20
12,24,22
13,27,25
12,27,27
13,28,28
13,28,29
13,26,26
12,26,27
14,28,29
13,27,30
13,26,28
11,26,29
13,28,30
12,28,32
12,31,34
14,30,34
14,30,34
12,30,37
11,29,37
10,29,40
11,29,40
11,32,45
12,37,51
17,45,57
18,47,59
21,54,65
22,54,68
21,54,69
20,54,71
19,53,68
20,54,71
20,56,74
20,58,76
19,56,75
20,56,75
18,55,75
19,56,77
20,58,77
20,60,79
20,59,79
19,59,78
19,62,78
22,65,84
21,65,85
23,64,86
23,63,86
19,60,85
